BASENAME,White(Count),Black or African American(Count),American Indian and Alaska Native(Count),Asian(Count),Native Hawaiian and Other Pacific Islander(Count),Some Other Race(Count),Two or More Races(Count),Total Population,White(Percent),Black or African American(Percent),American Indian and Alaska Native(Percent),Asian(Percent),Native Hawaiian and Other Pacific Islander(Percent),Some Other Race(Percent),Two or More Races(Percent),Hispanic or Latino (of any race)(Count),Not Hispanic or Latino(Count),Hispanic or Latino (of any race)(Percent),Not Hispanic or Latino(Percent),Total Population for whom poverty status is determined (Below Poverty Level),Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone (Below Poverty Level),Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone (Below Poverty Level),Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone (Below Poverty Level),Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races (Below Poverty Level),Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race) (Below Poverty Level),"Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino (Below Poverty Level)",Population for whom poverty status is determined (% Below Poverty Level),Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone (% Below Poverty Level),Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone (% Below Poverty Level),Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone (% Below Poverty Level),Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races (% Below Poverty Level),Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race) (% Below Poverty Level),"Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino (% Below Poverty Level)"
1,832,87,6,53,2,17,52,"1,049",79.30%,8.30%,0.60%,5.10%,0.20%,1.60%,5.00%,50,999,4.80%,95.20%,138,65,32,0,38,38,65,13.20%,7.50%,39.00%,0.00%,88.40%,73.10%,7.50%
2,"1,720",945,72,437,1,136,331,"3,642",47.20%,25.90%,2.00%,12.00%,0.00%,3.70%,9.10%,321,"3,321",8.80%,91.20%,"1,440",501,745,0,147,143,475,36.20%,25.00%,52.40%,0.00%,58.30%,84.60%,24.00%
3,903,273,14,208,1,38,128,"1,565",57.70%,17.40%,0.90%,13.30%,0.10%,2.40%,8.20%,116,"1,449",7.40%,92.60%,279,126,142,11,0,39,98,19.00%,16.30%,28.40%,100.00%,0.00%,38.20%,13.80%
4,"2,347",591,27,369,2,111,273,"3,720",63.10%,15.90%,0.70%,9.90%,0.10%,3.00%,7.30%,247,"3,473",6.60%,93.40%,398,346,0,0,0,16,330,10.20%,12.90%,0.00%,0.00%,0.00%,7.50%,12.60%
5.01,918,697,21,495,0,101,239,"2,471",37.20%,28.20%,0.80%,20.00%,0.00%,4.10%,9.70%,251,"2,220",10.20%,89.80%,"1,067",402,504,0,67,90,369,46.00%,48.90%,64.90%,0.00%,36.40%,45.50%,51.80%
6,"1,212","1,245",59,684,2,127,335,"3,664",33.10%,34.00%,1.60%,18.70%,0.10%,3.50%,9.10%,300,"3,364",8.20%,91.80%,"1,005",259,513,0,177,0,259,33.80%,18.30%,54.90%,0.00%,93.70%,0.00%,18.40%
7,598,627,18,396,1,75,177,"1,892",31.60%,33.10%,1.00%,20.90%,0.10%,4.00%,9.40%,182,"1,710",9.60%,90.40%,468,321,41,0,20,0,321,30.40%,62.30%,9.50%,0.00%,9.30%,0.00%,62.30%
8,"1,125",886,43,457,0,90,312,"2,913",38.60%,30.40%,1.50%,15.70%,0.00%,3.10%,10.70%,306,"2,607",10.50%,89.50%,"1,165",579,493,0,69,0,579,35.30%,50.00%,45.40%,0.00%,11.20%,0.00%,50.00%
9,"2,245",382,5,174,0,50,264,"3,120",72.00%,12.20%,0.20%,5.60%,0.00%,1.60%,8.50%,213,"2,907",6.80%,93.20%,382,344,0,0,38,30,314,11.00%,11.70%,0.00%,0.00%,15.80%,21.60%,10.80%
10,"2,159","1,081",45,131,0,186,421,"4,023",53.70%,26.90%,1.10%,3.30%,0.00%,4.60%,10.50%,382,"3,641",9.50%,90.50%,910,355,479,25,51,43,355,22.90%,14.80%,43.70%,80.60%,12.60%,10.80%,15.40%
