BASENAME,NAME
114.02,Census Tract 114.02
114.01,Census Tract 114.01
112.01,Census Tract 112.01
132,Census Tract 132
128,Census Tract 128
160.01,Census Tract 160.01
110.12,Census Tract 110.12
163,Census Tract 163
40,Census Tract 40
58,Census Tract 58
23,Census Tract 23
3,Census Tract 3
162,Census Tract 162
138,Census Tract 138
24,Census Tract 24
16,Census Tract 16
10,Census Tract 10
19,Census Tract 19
106,Census Tract 106
46,Census Tract 46
102,Census Tract 102
104,Census Tract 104
122,Census Tract 122
165.01,Census Tract 165.01
123,Census Tract 123
119,Census Tract 119
125,Census Tract 125
133,Census Tract 133
49,Census Tract 49
29.01,Census Tract 29.01
137.01,Census Tract 137.01
112.41,Census Tract 112.41
113,Census Tract 113
8,Census Tract 8
35,Census Tract 35
45,Census Tract 45
56.01,Census Tract 56.01
36.02,Census Tract 36.02
144,Census Tract 144
152.01,Census Tract 152.01
101,Census Tract 101
157.01,Census Tract 157.01
117,Census Tract 117
118,Census Tract 118
112.31,Census Tract 112.31
129,Census Tract 129
130,Census Tract 130
136,Census Tract 136
38,Census Tract 38
135,Census Tract 135
53,Census Tract 53
107,Census Tract 107
105,Census Tract 105
149,Census Tract 149
156.02,Census Tract 156.02
166,Census Tract 166
167,Census Tract 167
165.02,Census Tract 165.02
127,Census Tract 127
126,Census Tract 126
1,Census Tract 1
60,Census Tract 60
9400,Census Tract 9400
110.21,Census Tract 110.21
109,Census Tract 109
145,Census Tract 145
146,Census Tract 146
168.01,Census Tract 168.01
121,Census Tract 121
7,Census Tract 7
54,Census Tract 54
61.03,Census Tract 61.03
43.02,Census Tract 43.02
108,Census Tract 108
55,Census Tract 55
17.01,Census Tract 17.01
36.01,Census Tract 36.01
147,Census Tract 147
148,Census Tract 148
155,Census Tract 155
152.03,Census Tract 152.03
169.02,Census Tract 169.02
111.02,Census Tract 111.02
110.11,Census Tract 110.11
39,Census Tract 39
51,Census Tract 51
52,Census Tract 52
4,Census Tract 4
61.02,Census Tract 61.02
139,Census Tract 139
9,Census Tract 9
17.02,Census Tract 17.02
161,Census Tract 161
154,Census Tract 154
152.02,Census Tract 152.02
116,Census Tract 116
124,Census Tract 124
115,Census Tract 115
111.01,Census Tract 111.01
134,Census Tract 134
27,Census Tract 27
20,Census Tract 20
112.32,Census Tract 112.32
164,Census Tract 164
50,Census Tract 50
21.01,Census Tract 21.01
2,Census Tract 2
5.01,Census Tract 5.01
14,Census Tract 14
32,Census Tract 32
42,Census Tract 42
59,Census Tract 59
140,Census Tract 140
44.01,Census Tract 44.01
18,Census Tract 18
158,Census Tract 158
150,Census Tract 150
157.02,Census Tract 157.02
169.01,Census Tract 169.01
120,Census Tract 120
112.02,Census Tract 112.02
160.02,Census Tract 160.02
131,Census Tract 131
48,Census Tract 48
168.02,Census Tract 168.02
30,Census Tract 30
57,Census Tract 57
6,Census Tract 6
43.01,Census Tract 43.01
61.01,Census Tract 61.01
15,Census Tract 15
112.42,Census Tract 112.42
110.22,Census Tract 110.22
34,Census Tract 34
142,Census Tract 142
56.02,Census Tract 56.02
103.01,Census Tract 103.01
103.22,Census Tract 103.22
103.21,Census Tract 103.21
143,Census Tract 143
151,Census Tract 151
156.01,Census Tract 156.01
